"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2022 Tour De France","2022","Tour De France","2",62,"KOM Sprint (4) Côte d'Asnæs Indelukke (62 km)","Mountain Sprint (4)"," Magnus Cort","EF Education-EasyPost","1","1","0"
"2","2022 Tour De France","2022","Tour De France","2",72.5,"KOM Sprint (4) Côte d'Høve Stræde (72.5 km)","Mountain Sprint (4)"," Magnus Cort","EF Education-EasyPost","1","1","0"
"3","2022 Tour De France","2022","Tour De France","2",84,"KOM Sprint (4) Côte de Kårup Strandbakke (84 km)","Mountain Sprint (4)"," Magnus Cort","EF Education-EasyPost","1","1","0"
"4","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," Sven Erik Bystrøm","Intermarché - Wanty - Gobert Matériaux","1","0","20"
"5","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," Magnus Cort","EF Education-EasyPost","2","0","17"
"6","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," Caleb Ewan","Lotto Soudal","3","0","15"
"7","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," Wout van Aert","Jumbo-Visma","4","0","13"
"8","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," Peter Sagan","TotalEnergies","5","0","11"
"9","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," Christophe Laporte","Jumbo-Visma","6","0","10"
"10","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," Fabio Jakobsen","Quick-Step Alpha Vinyl Team","7","0","9"
"11","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," Jérémy Lecroq","B&B Hotels - KTM","8","0","8"
"12","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," Michael Mørkøv","Quick-Step Alpha Vinyl Team","9","0","7"
"13","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," Edvald Boasson Hagen","TotalEnergies","10","0","6"
"14","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," Stefan Küng","Groupama - FDJ","11","0","5"
"15","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," David Gaudu","Groupama - FDJ","12","0","4"
"16","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," Kevin Geniets","Groupama - FDJ","13","0","3"
"17","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," Max Walscheid","Cofidis","14","0","2"
"18","2022 Tour De France","2022","Tour De France","2",126.9,"Sprint | Kalundborg (126.9 km)","Intermediate Sprint"," Jasper Stuyven","Trek - Segafredo","15","0","1"
"19","2022 Tour De France","2022","Tour De France","3",27.3,"KOM Sprint (4) Côte de Koldingvej (27.3 km)","Mountain Sprint (4)"," Magnus Cort","EF Education-EasyPost","1","1","0"
"20","2022 Tour De France","2022","Tour De France","3",82.8,"KOM Sprint (4) Côte de Hejlsminde Strand (82.8 km)","Mountain Sprint (4)"," Magnus Cort","EF Education-EasyPost","1","1","0"
"21","2022 Tour De France","2022","Tour De France","3",90.5,"Sprint | Christiansfeld (90.5 km)","Intermediate Sprint"," Magnus Cort","EF Education-EasyPost","1","0","20"
"22","2022 Tour De France","2022","Tour De France","3",90.5,"Sprint | Christiansfeld (90.5 km)","Intermediate Sprint"," Wout van Aert","Jumbo-Visma","2","0","17"
"23","2022 Tour De France","2022","Tour De France","3",90.5,"Sprint | Christiansfeld (90.5 km)","Intermediate Sprint"," Fabio Jakobsen","Quick-Step Alpha Vinyl Team","3","0","15"
"24","2022 Tour De France","2022","Tour De France","3",90.5,"Sprint | Christiansfeld (90.5 km)","Intermediate Sprint"," Christophe Laporte","Jumbo-Visma","4","0","13"
"25","2022 Tour De France","2022","Tour De France","3",90.5,"Sprint | Christiansfeld (90.5 km)","Intermediate Sprint"," Peter Sagan","TotalEnergies","5","0","11"
"26","2022 Tour De France","2022","Tour De France","3",90.5,"Sprint | Christiansfeld (90.5 km)","Intermediate Sprint"," Caleb Ewan","Lotto Soudal","6","0","10"
"27","2022 Tour De France","2022","Tour De France","3",90.5,"Sprint | Christiansfeld (90.5 km)","Intermediate Sprint"," Michael Mørkøv","Quick-Step Alpha Vinyl Team","7","0","9"
"28","2022 Tour De France","2022","Tour De France","3",90.5,"Sprint | Christiansfeld (90.5 km)","Intermediate Sprint"," Reinardt Janse van Rensburg","Lotto Soudal","8","0","8"
"29","2022 Tour De France","2022","Tour De France","3",90.5,"Sprint | Christiansfeld (90.5 km)","Intermediate Sprint"," Marc Soler","UAE Team Emirates","9","0","7"
"30","2022 Tour De France","2022","Tour De France","3",90.5,"Sprint | Christiansfeld (90.5 km)","Intermediate Sprint"," Mikkel Bjerg","UAE Team Emirates","10","0","6"
